,Name,License
480,timm_res2net101_26w_4s_imagenet_11,apache-2.0
481,timm_res2next50_imagenet_11,apache-2.0
482,timm_resnest14d_imagenet_11,apache-2.0
483,timm_resnest26d_imagenet_11,apache-2.0
484,timm_resnest50d_imagenet_11,apache-2.0
485,timm_resnest50d_1s4x24d_imagenet_11,apache-2.0
486,timm_resnest50d_4s2x40d_imagenet_11,apache-2.0
487,timm_resnest101e_imagenet_11,apache-2.0
488,timm_resnest200e_imagenet_11,apache-2.0
489,timm_resnest269e_imagenet_11,apache-2.0
490,timm_resnet18d_imagenet_11,apache-2.0
491,timm_resnet26_imagenet_11,apache-2.0
492,timm_resnet26d_imagenet_11,apache-2.0
493,timm_resnet34_imagenet_11,apache-2.0
494,timm_resnet34d_imagenet_11,apache-2.0
495,timm_resnet50_imagenet_11,apache-2.0
496,timm_resnet50d_imagenet_11,apache-2.0
497,timm_resnet51q_imagenet_11,apache-2.0
498,timm_resnet101d_imagenet_11,apache-2.0
499,timm_resnet152d_imagenet_11,apache-2.0
500,timm_resnet200d_imagenet_11,apache-2.0
501,timm_resnetblur50_imagenet_11,apache-2.0
502,timm_resnetrs50_imagenet_11,apache-2.0
503,timm_resnetrs101_imagenet_11,apache-2.0
504,timm_resnetrs152_imagenet_11,apache-2.0
505,timm_resnetrs200_imagenet_11,apache-2.0
506,timm_resnetrs270_imagenet_11,apache-2.0
507,timm_resnetrs350_imagenet_11,apache-2.0
508,timm_resnetrs420_imagenet_11,apache-2.0
509,timm_resnext50_32x4d_imagenet_11,apache-2.0
510,timm_resnext50d_32x4d_imagenet_11,apache-2.0
511,timm_rexnet_100_imagenet_11,apache-2.0
512,timm_rexnet_130_imagenet_11,apache-2.0
513,timm_rexnet_150_imagenet_11,apache-2.0
514,timm_rexnet_200_imagenet_11,apache-2.0
515,timm_selecsls42b_imagenet_11,apache-2.0
516,timm_selecsls60_imagenet_11,apache-2.0
517,timm_selecsls60b_imagenet_11,apache-2.0
518,timm_semnasnet_100_imagenet_11,apache-2.0
519,timm_seresnet50_imagenet_11,apache-2.0
520,timm_seresnet152d_imagenet_11,apache-2.0
521,timm_seresnext26d_32x4d_imagenet_11,apache-2.0
522,timm_seresnext26t_32x4d_imagenet_11,apache-2.0
523,timm_seresnext50_32x4d_imagenet_11,apache-2.0
524,timm_skresnet18_imagenet_11,apache-2.0
525,timm_skresnet34_imagenet_11,apache-2.0
526,timm_skresnext50_32x4d_imagenet_11,apache-2.0
527,timm_spnasnet_100_imagenet_11,apache-2.0
528,timm_ssl_resnet18_imagenet_11,apache-2.0
529,timm_ssl_resnet50_imagenet_11,apache-2.0
530,timm_ssl_resnext50_32x4d_imagenet_11,apache-2.0
531,timm_ssl_resnext101_32x4d_imagenet_11,apache-2.0
532,timm_ssl_resnext101_32x8d_imagenet_11,apache-2.0
533,timm_ssl_resnext101_32x16d_imagenet_11,apache-2.0
534,timm_swsl_resnet18_imagenet_11,apache-2.0
535,timm_swsl_resnet50_imagenet_11,apache-2.0
536,timm_swsl_resnext50_32x4d_imagenet_11,apache-2.0
537,timm_swsl_resnext101_32x4d_imagenet_11,apache-2.0
538,timm_swsl_resnext101_32x8d_imagenet_11,apache-2.0
539,timm_swsl_resnext101_32x16d_imagenet_11,apache-2.0
540,timm_tf_efficientnet_b0_imagenet_11,apache-2.0
541,timm_tf_efficientnet_b0_ap_imagenet_11,apache-2.0
542,timm_tf_efficientnet_b0_ns_imagenet_11,apache-2.0
543,timm_tf_efficientnet_b1_imagenet_11,apache-2.0
544,timm_tf_efficientnet_b1_ap_imagenet_11,apache-2.0
545,timm_tf_efficientnet_b1_ns_imagenet_11,apache-2.0
546,timm_tf_efficientnet_b2_imagenet_11,apache-2.0
547,timm_tf_efficientnet_b2_ap_imagenet_11,apache-2.0
548,timm_tf_efficientnet_b2_ns_imagenet_11,apache-2.0
549,timm_tf_efficientnet_b3_imagenet_11,apache-2.0
550,timm_tf_efficientnet_b3_ap_imagenet_11,apache-2.0
551,timm_tf_efficientnet_b3_ns_imagenet_11,apache-2.0
552,timm_tf_efficientnet_b4_imagenet_11,apache-2.0
553,timm_tf_efficientnet_b4_ap_imagenet_11,apache-2.0
554,timm_tf_efficientnet_b4_ns_imagenet_11,apache-2.0
555,timm_tf_efficientnet_b5_imagenet_11,apache-2.0
556,timm_tf_efficientnet_b5_ap_imagenet_11,apache-2.0
557,timm_tf_efficientnet_b5_ns_imagenet_11,apache-2.0
558,timm_tf_efficientnet_b6_imagenet_11,apache-2.0
559,timm_tf_efficientnet_b6_ap_imagenet_11,apache-2.0
560,timm_tf_efficientnet_b6_ns_imagenet_11,apache-2.0
561,timm_tf_efficientnet_b7_imagenet_11,apache-2.0
562,timm_tf_efficientnet_b7_ap_imagenet_11,apache-2.0
563,timm_tf_efficientnet_b7_ns_imagenet_11,apache-2.0
564,timm_tf_efficientnet_b8_imagenet_11,apache-2.0
565,timm_tf_efficientnet_b8_ap_imagenet_11,apache-2.0
566,timm_tf_efficientnet_el_imagenet_11,apache-2.0
567,timm_tf_efficientnet_em_imagenet_11,apache-2.0
